"","CALENDAR_YEAR","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","TOTAL_DAYS","TOTAL_OBSERVERS","TOTAL_CRUISES","DISTINCT_OBSERVER_ASSIGNMENTS","OLE_CATEGORY","AFFIDAVIT_TYPE","TOTAL_STATEMENTS","TOTAL_INCIDENTS","CONFI_FLAG","AFFIS_PER_DAY","INCIDENTS_PER_DAY","STATEMENTS_PER_1000_DEPLOYED_DAYS","INCIDENTS_PER_1000_DEPLOYED_DAYS","STATEMENTS_PER_90_DEPLOYED_DAYS","INCIDENTS_PER_90_DEPLOYED_DAYS","STATEMENTS_PER_OBSERVER","INCIDENTS_PER_OBSERVER","STATEMENTS_PER_CRUISE","INCIDENTS_PER_CRUISE","STATEMENTS_PER_ASSIGNMENT","INCIDENTS_PER_ASSIGNMENT"
"1",2022,"FULL","CP/MS","HAL","CDQ","BSAI",652,28,30,31,"ALL OTHER STATEMENT TYPES","Failure to Notify",0.403225806451613,0.403225806451613,0,0.000618444488422719,0.000618444488422719,0.618444488422719,0.618444488422719,0.0556600039580447,0.0556600039580447,0.0144009216589862,0.0144009216589862,0.0134408602150538,0.0134408602150538,0.0130072840790843,0.0130072840790843
"2",2022,"FULL","CP/MS","HAL","CDQ","BSAI",652,28,30,31,"ALL OTHER STATEMENT TYPES","Record Keeping and Reporting",0.273636363636364,7.20545454545455,0,0.000419687674288901,0.0110513106525376,0.419687674288901,11.0513106525376,0.0377718906860011,0.994617958728388,0.00977272727272727,0.257337662337662,0.00912121212121212,0.240181818181818,0.00882697947214076,0.232434017595308
"3",2022,"FULL","CP/MS","HAL","CDQ","BSAI",652,28,30,31,"COAST GUARD","MARPOL/Oil Spill",2.43690559415617,3.39013140060778,0,0.00373758526711069,0.005199588037742,3.73758526711069,5.199588037742,0.336382674039962,0.46796292339678,0.0870323426484346,0.121076121450278,0.0812301864718723,0.113004380020259,0.0786098578760054,0.109359077438961
"4",2022,"FULL","CP/MS","HAL","CDQ","BSAI",652,28,30,31,"COAST GUARD","Safety-USCG-Fail to Conduct Drills",2.44168734491315,4.44168734491315,0,0.00374491924066434,0.00681240390324103,3.74491924066434,6.81240390324103,0.337042731659791,0.613116351291693,0.087203119461184,0.158631690889755,0.0813895781637717,0.148056244830438,0.0787641079004242,0.143280236932682
"5",2022,"FULL","CP/MS","HAL","CDQ","BSAI",652,28,30,31,"COAST GUARD","Safety-USCG-Marine Casualty",1.79262478515557,3.95262478515557,0,0.00274942451710976,0.00606230795269258,2.74942451710976,6.06230795269258,0.247448206539879,0.545607715742333,0.0640223137555559,0.141165170898413,0.0597541595051855,0.131754159505186,0.0578266059727602,0.127504025327599
"6",2022,"FULL","CP/MS","HAL","CDQ","BSAI",652,28,30,31,"LIMITED ACCESS PROGRAMS","Catcher Processer Longline",2.17505599151709,3.83631972778083,0,0.0033359754471121,0.00588392596285403,3.3359754471121,5.88392596285403,0.300237790240089,0.529553336656863,0.0776805711256104,0.137011418849315,0.0725018663839031,0.127877324259361,0.0701630965005514,0.123752249283253
"7",2022,"FULL","CP/MS","HAL","CDQ","BSAI",652,28,30,31,"OLE PRIORITY: INTER-PERSONAL","Intimidation, coercion, hostile work environment",1,1,0,0.00153374233128834,0.00153374233128834,1.53374233128834,1.53374233128834,0.138036809815951,0.138036809815951,0.0357142857142857,0.0357142857142857,0.0333333333333333,0.0333333333333333,0.032258064516129,0.032258064516129
"8",2022,"FULL","CP/MS","HAL","CDQ","BSAI",652,28,30,31,"PROTECTED RESOURCE & PROHIBITED SPECIES","Prohibited Species - Mishandling",1.16861598440546,4.82651072124756,0,0.00179235580430285,0.00740262380559442,1.79235580430285,7.40262380559442,0.161312022387256,0.666236142503498,0.0417362851573378,0.172375382901699,0.0389538661468486,0.160883690708252,0.0376972898195309,0.155693894233792
"9",2022,"FULL","CP/MS","HAL","CDQ","BSAI",652,28,30,31,"PROTECTED RESOURCE & PROHIBITED SPECIES","Seabird-Avoidance Measures",0.275,31.9,0,0.000421779141104295,0.0489263803680982,0.421779141104295,48.9263803680982,0.0379601226993865,4.40337423312883,0.00982142857142857,1.13928571428571,0.00916666666666667,1.06333333333333,0.00887096774193548,1.02903225806452
"10",2022,"FULL","CP/MS","HAL","IFQ","BSAI",22,3,3,3,"ALL OTHER STATEMENT TYPES","Record Keeping and Reporting",0.158415841584158,0.158415841584158,0,0.0072007200720072,0.0072007200720072,7.2007200720072,7.2007200720072,0.648064806480648,0.648064806480648,0.0528052805280528,0.0528052805280528,0.0528052805280528,0.0528052805280528,0.0528052805280528,0.0528052805280528
